Instance,Class,Score
1,1,0.995973
2,1,0.997995
3,0,0.00529883
4,0,0.152374
5,1,0.998333
6,1,0.500061
7,0,0.0197631
8,0,0.0234634
9,1,0.982001
10,1,0.706465
11,0,0.00416202
12,0,0.746447
13,0,0.00766567
14,1,0.961959
15,1,0.935215
16,0,0.807654
17,0,0.144804
18,1,0.956532
19,0,0.156958
20,1,0.944909
21,1,0.867008
22,0,0.410282
23,0,0.0204816
24,0,0.667094
25,0,0.00426335
26,1,0.956694
27,1,0.692577
28,1,0.994407
29,0,0.024916
30,0,0.550543
31,1,0.792215
32,1,0.815242
33,0,0.0818292
34,1,0.823318
35,0,0.0153517
36,0,0.0798799
37,1,0.987552
38,1,0.936923
39,1,0.98634
40,0,0.319319
41,0,0.00982576
42,0,0.0382723
43,0,0.0983635
44,1,0.98378
45,0,0.00653738
46,1,0.529531
47,0,0.501617
48,1,0.997761
49,0,0.00840961
50,0,0.142083
51,1,0.0221935
52,1,0.647787
53,0,0.979115
54,1,0.232942
55,0,0.0509205
56,1,0.903776
57,0,0.0620807
58,0,0.0678015
59,0,0.054595
60,1,0.618887
61,1,0.853406
62,1,0.0475729
63,0,0.603027
64,0,0.0287845
65,0,0.0353878
66,0,0.12286
67,1,0.379826
68,0,0.00399173
69,1,0.625786
70,1,0.836133
71,0,0.102004
72,0,0.0278924
73,1,0.949282
74,1,0.890787
75,1,0.990145
76,1,0.999649
77,0,0.0840193
78,0,0.686963
79,0,0.0427705
80,0,0.159756
81,0,0.00147315
82,0,0.0350545
83,1,0.792727
84,0,0.00259572
85,1,0.938526
86,1,0.277127
87,1,0.975857
88,0,0.528234
89,1,0.93926
90,1,0.981247
91,1,0.865091
92,1,0.970979
93,1,0.801864
94,1,0.914621
95,1,0.678098
96,1,0.651869
97,0,0.0395879
98,1,0.570541
99,0,0.25181
100,1,0.927295
101,1,0.958874
102,0,0.10786
103,1,0.862206
104,0,0.016222
105,0,0.317836
106,1,0.500562
107,0,0.822323
108,1,0.0729966
109,0,0.876612
110,0,0.40856
111,0,0.400126
112,1,0.808059
113,1,0.942182
114,0,0.455754
115,0,0.00457196
116,1,0.879656
117,1,0.988361
118,0,0.144584
119,0,0.0584497
120,0,0.762912
121,0,0.0849368
122,1,0.0855738
123,0,0.00025309
124,1,0.230526
125,1,0.60232
126,1,0.943152
127,1,0.920286
128,0,0.569625
129,0,0.560434
130,1,0.857661
131,1,0.20917
132,1,0.714497
133,0,0.00185385
134,0,0.172053
135,0,0.0465431
136,1,0.755181
137,0,0.306874
138,0,0.00361776
139,1,0.746303
140,0,0.434572
141,1,0.816274
142,1,0.990906
143,1,0.953998
144,0,0.207794
145,0,0.00726041
146,0,0.0157362
147,0,0.0404756
148,1,0.932534
149,1,0.915661
150,0,0.0038836
151,1,0.878091
152,0,0.319888
153,0,0.0270558
154,0,0.166378
155,1,0.997664
156,1,0.561264
157,0,0.0445083
158,1,0.495874
159,0,0.0274649
160,1,0.985776
161,0,0.0282251
162,1,0.692545
163,1,0.749643
164,0,0.00250346
165,0,0.279346
166,1,0.992408
167,0,0.438365
168,0,0.141055
169,1,0.784768
170,0,0.0617652
171,0,0.000286419
172,1,0.91877
173,1,0.924765
174,0,0.0403523
175,0,0.00484266
176,0,0.198691
177,1,0.964803
178,0,0.0153685
179,0,0.265236
180,1,0.984824
181,0,0.000236106
182,1,0.947454
183,0,0.040589
184,1,0.761564
185,0,0.00990189
186,1,0.821435
187,1,0.959857
188,0,0.0795794
189,1,0.464207
190,1,0.994907
191,1,0.550598
192,1,0.999811
193,0,0.0064424
194,1,0.958382
195,1,0.587556
196,0,0.00388226
197,0,0.17007
198,1,0.909252
199,0,0.635648
200,0,0.327332
201,0,0.226625
202,1,0.723435
203,0,0.947
204,1,0.653228
205,0,0.000996336
206,1,0.275234
207,1,0.678887
208,0,0.00566538
209,0,0.0781879
210,1,0.994049
211,0,0.532524
212,1,0.92826
213,0,0.424451
214,1,0.792362
215,0,0.0553127
216,1,0.375398
217,1,0.979775
218,1,0.84815
219,1,0.988025
220,1,0.732874
221,0,0.00548483
222,1,0.637986
223,0,0.000117158
224,1,0.970432
225,1,0.636045
226,0,0.0329907
227,0,0.0131601
228,0,0.157068
229,0,0.0318975
230,1,0.959123
231,1,0.214584
232,0,0.0164944
233,1,0.888364
234,1,0.934192
235,1,0.677474
236,1,0.956383
237,1,0.692405
238,1,0.513088
239,1,0.986846
240,1,0.633944
241,0,0.0167087
242,0,0.288727
243,1,0.981417
244,1,0.184443
245,0,0.0035941
246,1,0.797326
247,1,0.433772
248,1,0.911432
249,0,0.0188381
250,1,0.779441
251,1,0.8338
252,1,0.45382
253,1,0.763312
254,0,0.662937
255,0,0.877175
256,0,0.355287
257,1,0.819816
258,0,0.179974
259,1,0.31055
260,0,0.026123
261,1,0.957902
262,0,0.00623691
263,0,0.00443027
264,1,0.991287
265,0,0.324618
266,0,0.088366
267,1,0.342918
268,0,0.261377
269,0,0.00734682
270,0,0.297576
271,0,0.356127
272,0,0.0815696
273,1,0.880832
274,0,0.0117882
275,1,0.807658
276,1,0.288428
277,0,0.39884
278,0,0.0115019
279,1,0.843517
280,0,0.76806
281,1,0.381307
282,1,0.27956
283,0,0.111101
284,1,0.229544
285,0,0.273599
286,1,0.832263
287,0,0.0915266
288,0,0.325264
289,1,0.63552
290,0,0.0900886
291,1,0.937283
292,0,0.0825642
293,0,0.0181615
294,1,0.114683
295,1,0.596321
296,0,0.90037
297,0,0.458188
298,1,0.977591
299,1,0.876284
300,0,0.0107896
301,1,0.647659
302,1,0.836409
303,1,0.446341
